PRECISE MISSION TIME (min),Pvx,Pvy,Pvz,Ppx,Ppy,Ppz,Distance X,Distance Y,Distance Z,Total Distance
10.35314721,-7.795065784,1.269200925,2.21479213,1347.982675,5082.119812,4022.765033,-7.79414,1.272791,2.217646,2702.781344
10.36981388,-7.796919841,1.262020869,2.209084216,1340.18668,5083.385424,4024.976972,-7.795995,1.265612,2.211939,2710.983294
10.38648055,-7.798773899,1.254840813,2.203376302,1332.388837,5084.643854,4027.183201,-7.797843,1.25843,2.206229,2719.184358
10.40314721,-7.800627957,1.247660757,2.197668389,1324.589134,5085.895105,4029.383724,-7.799703,1.251251,2.200523,2727.384559
10.41981388,-7.802482015,1.240480701,2.191960475,1316.787578,5087.139176,4031.578539,-7.801556,1.244071,2.194815,2735.5839
10.43648055,-7.804336073,1.233300645,2.186252561,1308.984172,5088.376066,4033.767645,-7.803406,1.23689,2.189106,2743.78239
10.45314721,-7.806190131,1.22612059,2.180544647,1301.178907,5089.605777,4035.951044,-7.805265,1.229711,2.183399,2751.980047
10.46981388,-7.808044188,1.218940534,2.174836734,1293.371788,5090.828308,4038.128735,-7.807119,1.222531,2.177691,2760.176877
10.48648055,-7.809898246,1.211760478,2.16912882,1285.56282,5092.043658,4040.300717,-7.808968,1.21535,2.171982,2768.372886
10.50314721,-7.811752304,1.204580422,2.163420906,1277.751993,5093.251828,4042.466992,-7.810827,1.20817,2.166275,2776.568095
10.51981388,-7.813606362,1.197400366,2.157712992,1269.939312,5094.452819,4044.627559,-7.812681,1.200991,2.160567,2784.762508
10.53648055,-7.81546042,1.19022031,2.152005079,1262.124782,5095.646629,4046.782418,-7.81453,1.19381,2.154859,2792.956132
10.55314721,-7.817314478,1.183040254,2.146297165,1254.308393,5096.833259,4048.931569,-7.816389,1.18663,2.149151,2801.148988
10.56981388,-7.819168535,1.175860198,2.140589251,1246.49015,5098.01271,4051.075013,-7.818243,1.179451,2.143444,2809.34108
10.58648055,-7.821022593,1.168680142,2.134881337,1238.670058,5099.18498,4053.212747,-7.820092,1.17227,2.137734,2817.532415
10.60314721,-7.822876651,1.161500086,2.129173424,1230.848107,5100.35007,4055.344775,-7.821951,1.16509,2.132028,2825.723013
10.61981388,-7.824730709,1.154320031,2.12346551,1223.024301,5101.50798,4057.471095,-7.823806,1.15791,2.12632,2833.91288
10.63648055,-7.826584767,1.147139975,2.117757596,1215.198647,5102.65871,4059.591706,-7.825654,1.15073,2.120611,2842.102022
10.65314721,-7.828438825,1.139959919,2.112049682,1207.371133,5103.80226,4061.70661,-7.827514,1.14355,2.114904,2850.290459
10.66981388,-7.830292882,1.132779863,2.106341769,1199.541766,5104.93863,4063.815806,-7.829367,1.13637,2.109196,2858.478195
10.68648055,-7.83214694,1.125599807,2.100633855,1191.710549,5106.067819,4065.919293,-7.831217,1.129189,2.103487,2866.665239
10.70314721,-7.834000998,1.118419751,2.094925941,1183.877474,5107.189829,4068.017073,-7.833075,1.12201,2.09778,2874.851609
10.71981388,-7.835855056,1.111239695,2.089218027,1176.042544,5108.304659,4070.109145,-7.83493,1.11483,2.092072,2883.037312
10.73648055,-7.837709114,1.104059639,2.083510114,1168.205765,5109.412309,4072.195509,-7.836779,1.10765,2.086364,2891.222354
10.75314721,-7.839563172,1.096879583,2.0778022,1160.367127,5110.512778,4074.276165,-7.838638,1.100469,2.080656,2899.406754
10.76981388,-7.84141723,1.089699527,2.072094286,1152.526636,5111.606068,4076.351114,-7.840491,1.09329,2.074949,2907.590518
10.78648055,-7.843271287,1.082519472,2.066386373,1144.684294,5112.692177,4078.420353,-7.842342,1.086109,2.069239,2915.773654
10.80314721,-7.845125345,1.075339416,2.060678459,1136.840095,5113.771107,4080.483886,-7.844199,1.07893,2.063533,2923.956179
10.81981388,-7.846979403,1.06815936,2.054970545,1128.994041,5114.842857,4082.541711,-7.846054,1.07175,2.057825,2932.138102
10.83648055,-7.848833461,1.060979304,2.049262631,1121.146137,5115.907425,4084.593827,-7.847904,1.064568,2.052116,2940.319427
10.85314721,-7.850687519,1.053799248,2.043554718,1113.296375,5116.964815,4086.640236,-7.849762,1.05739,2.046409,2948.500174
10.86981388,-7.852541577,1.046619192,2.037846804,1105.444759,5118.015024,4088.680937,-7.851616,1.050209,2.040701,2956.68035
10.88648055,-7.854395634,1.039439136,2.03213889,1097.591294,5119.058053,4090.715929,-7.853465,1.043029,2.034992,2964.859959
10.90314721,-7.856249692,1.03225908,2.026430976,1089.735969,5120.093902,4092.745215,-7.855325,1.035849,2.029286,2973.039025
10.91981388,-7.85810375,1.025079024,2.020723063,1081.878791,5121.122572,4094.768792,-7.857178,1.02867,2.023577,2981.21755
10.93648055,-7.859957808,1.017898968,2.015015149,1074.019763,5122.14406,4096.78666,-7.859028,1.021488,2.017868,2989.395542
10.95314721,-7.861811866,1.010718913,2.009307235,1066.158877,5123.158369,4098.798822,-7.860886,1.014309,2.012162,2997.57302
10.96981388,-7.863665924,1.003538857,2.003599321,1058.296137,5124.165499,4100.805276,-7.86274,1.00713,2.006454,3005.749991
10.98648055,-7.865519981,0.996358801,1.997891408,1050.431547,5125.165447,4102.80602,-7.86459,0.999948,2.000744,3013.92646
11.00314721,-7.867374039,0.989178745,1.992183494,1042.565098,5126.158216,4104.801058,-7.866449,0.992769,1.995038,3022.102448
11.01981388,-7.869228097,0.981998689,1.98647558,1034.696796,5127.143805,4106.790388,-7.868302,0.985589,1.98933,3030.27796
11.03648055,-7.871082155,0.974818633,1.980767666,1026.826644,5128.122213,4108.774009,-7.870152,0.978408,1.983621,3038.453003
11.05314721,-7.872936213,0.967638577,1.975059753,1018.954633,5129.093442,4110.751923,-7.872011,0.971229,1.977914,3046.627597
11.06981388,-7.874790271,0.960458521,1.969351839,1011.080768,5130.057491,4112.724129,-7.873865,0.964049,1.972206,3054.801748
11.08648055,-7.876644328,0.953278465,1.963643925,1003.205054,5131.014359,4114.690626,-7.875714,0.956868,1.966497,3062.97546
11.10314721,-7.878498386,0.946098409,1.957936011,995.3274809,5131.964047,4116.651417,-7.8775731,0.949688,1.960791,3071.148756
11.11981388,-7.880352444,0.938918354,1.952228098,987.4480539,5132.906556,4118.606499,-7.879427,0.942509,1.955082,3079.321641
11.13648055,-7.882206502,0.931738298,1.946520184,979.5667776,5133.841884,4120.555872,-7.8812763,0.935328,1.949373,3087.494119
11.15314721,-7.88406056,0.924558242,1.94081227,971.6836425,5134.770032,4122.499539,-7.8831351,0.928148,1.943667,3095.666213
11.16981388,-7.885914618,0.917378186,1.935104356,963.7986534,5135.691001,4124.437498,-7.8849891,0.920969,1.937959,3103.837928
11.18648055,-7.887768676,0.91019813,1.929396443,955.9118149,5136.604789,4126.369747,-7.8868385,0.913788,1.932249,3112.009269
11.20314721,-7.889622733,0.903018074,1.923688529,948.0231176,5137.511397,4128.29629,-7.8886973,0.906608,1.926543,3120.180258
11.21981388,-7.891476791,0.895838018,1.917980615,940.1325662,5138.410825,4130.217125,-7.8905514,0.899428,1.920835,3128.350899
11.23648055,-7.893330849,0.888657962,1.912272701,932.2389072,5139.296149,4132.126668,-7.893659,0.885324,1.909543,3136.520355
11.25314721,-7.897701575,0.867630801,1.895399089,924.3452855,5140.181705,4134.036398,-7.8936217,0.885556,1.90973,3144.689843
11.26981388,-7.898280297,0.861425321,1.890313493,916.4472929,5141.046233,4135.929255,-7.8979926,0.864528,1.892857,3152.857377
11.28648055,-7.898859019,0.855219842,1.885227898,908.5487264,5141.904555,4137.817025,-7.8985665,0.858322,1.88777,3161.023633
11.30314721,-7.89943774,0.849014362,1.880142303,900.6495765,5142.756672,4139.699711,-7.8991499,0.852117,1.882686,3169.18863
11.31981388,-7.900016462,0.842808883,1.875056708,892.7498478,5143.602584,4141.57731,-7.8997287,0.845912,1.877599,3177.352371
11.33648055,-7.900595184,0.836603403,1.869971113,884.8495451,5144.44229,4143.449824,-7.9003027,0.839706,1.872514,3185.514858
11.35314721,-7.901173906,0.830397924,1.864885518,876.948659,5145.275791,4145.317252,-7.9008861,0.833501,1.867428,3193.676109
11.36981388,-7.901752627,0.824192444,1.859799922,869.0471942,5146.103086,4147.179595,-7.9014648,0.827295,1.862343,3201.836126
11.38648055,-7.902331349,0.817986965,1.854714327,861.1451553,5146.924175,4149.036852,-7.9020389,0.821089,1.857257,3209.994913
11.40314721,-7.902910071,0.811781486,1.849628732,853.242533,5147.73906,4150.889024,-7.9026223,0.814885,1.852172,3218.152488
11.41981388,-7.903488792,0.805576006,1.844543137,845.339332,5148.547739,4152.73611,-7.903201,0.808679,1.847086,3226.308852
11.43648055,-7.904067514,0.799370527,1.839457542,837.435557,5149.350212,4154.57811,-7.903775,0.802473,1.842,3234.464009
11.45314721,-7.904646236,0.793165047,1.834371947,829.5311986,5150.14648,4156.415025,-7.9043584,0.796268,1.836915,3242.617976
11.46981388,-7.905224958,0.786959568,1.829286351,821.6262614,5150.936542,4158.246854,-7.9049372,0.790062,1.831829,3250.770756
11.48648055,-7.905803679,0.780754088,1.824200756,813.7207503,5151.720399,4160.073597,-7.9055111,0.783857,1.826743,3258.922353
11.50314721,-7.906382401,0.774548609,1.819115161,805.8146556,5152.49805,4161.895255,-7.9060947,0.777651,1.821658,3267.072783
11.51981388,-7.906961123,0.768343129,1.814029566,797.9079823,5153.269496,4163.711828,-7.9066733,0.771446,1.816573,3275.22205
11.53648055,-7.907539844,0.76213765,1.808943971,790.000735,5154.034736,4165.523314,-7.9072473,0.76524,1.811486,3283.370156
11.55314721,-7.908118566,0.75593217,1.803858375,782.0929042,5154.793771,4167.329716,-7.9078308,0.759035,1.806402,3291.517119
11.56981388,-7.908697288,0.749726691,1.79877278,774.1844947,5155.546601,4169.131032,-7.9084095,0.75283,1.801316,3299.662942
11.58648055,-7.90927601,0.743521211,1.793687185,766.2755112,5156.293225,4170.927261,-7.9089835,0.746624,1.796229,3307.807628
11.60314721,-7.909854731,0.737315732,1.78860159,758.3659442,5157.033643,4172.718406,-7.909567,0.740418,1.791145,3315.951194
11.61981388,-7.910433453,0.731110252,1.783515995,750.4557986,5157.767856,4174.504465,-7.9101456,0.734213,1.786059,3324.093643
11.63648055,-7.911012175,0.724904773,1.7784304,742.5450789,5158.495863,4176.285437,-7.9107197,0.728007,1.780972,3332.234979
11.65314721,-7.911590896,0.718699293,1.773344804,734.6337758,5159.217666,4178.061325,-7.9113031,0.721803,1.775888,3340.375218
11.66981388,-7.912169618,0.712493814,1.768259209,726.721894,5159.933262,4179.832128,-7.9118818,0.715596,1.770803,3348.514364
11.68648055,-7.91274834,0.706288335,1.763173614,718.8094381,5160.642653,4181.597843,-7.9124559,0.709391,1.765715,3356.652419
11.70314721,-7.913327062,0.700082855,1.758088019,710.8963989,5161.345839,4183.358474,-7.9130392,0.703186,1.760631,3364.789401
11.71981388,-7.913905783,0.693877376,1.753002424,702.9827809,5162.042819,4185.11402,-7.913618,0.69698,1.755546,3372.925314
11.73648055,-7.914484505,0.687671896,1.747916829,695.0685889,5162.733594,4186.864479,-7.914192,0.690775,1.750459,3381.060159
