PRECISE MISSION TIME (min),Ppx,Ppy,Ppz
3157.650291,-217439.233,-52796.99599,-13317.12465
3158.650291,-217511.3979,-52829.52827,-13334.15853
3159.650291,-217583.5353,-52862.05367,-13351.19063
3160.650291,-217655.6451,-52894.57221,-13368.22097
3161.650291,-217727.7275,-52927.08387,-13385.24954
3162.650291,-217799.7824,-52959.58866,-13402.27635
3163.650291,-217871.8099,-52992.08659,-13419.30138
3164.650291,-217943.8099,-53024.57766,-13436.32465
3165.650291,-218015.7825,-53057.06187,-13453.34614
3166.650291,-218087.7277,-53089.53922,-13470.36587
3167.650291,-218159.6456,-53122.00972,-13487.38382
3168.650291,-218231.5361,-53154.47337,-13504.4
3169.650291,-218303.3993,-53186.93017,-13521.41441
3170.650291,-218375.2352,-53219.38012,-13538.42705
3171.650291,-218447.0437,-53251.82324,-13555.43791
3172.650291,-218518.8251,-53284.25951,-13572.44701
3173.650291,-218590.5791,-53316.68895,-13589.45433
3174.650291,-218662.3059,-53349.11156,-13606.45987
3175.650291,-218734.0055,-53381.52733,-13623.46364
3176.650291,-218805.678,-53413.93628,-13640.46564
3177.650291,-218877.3232,-53446.33839,-13657.46586
3178.650291,-218948.9413,-53478.73369,-13674.46431
3179.650291,-219020.5323,-53511.12217,-13691.46098
3180.650291,-219092.0961,-53543.50383,-13708.45587
3181.650291,-219163.6329,-53575.87867,-13725.44899
3182.650291,-219235.1426,-53608.2467,-13742.44033
3183.650291,-219306.6252,-53640.60793,-13759.42989
3184.650291,-219378.0808,-53672.96235,-13776.41768
3185.650291,-219449.5093,-53705.30996,-13793.40368
3186.650291,-219520.9109,-53737.65077,-13810.38791
3187.650291,-219592.2855,-53769.98479,-13827.37036
3188.650291,-219663.6331,-53802.31201,-13844.35103
3189.650291,-219734.9538,-53834.63243,-13861.32992
3190.650291,-219806.2476,-53866.94607,-13878.30702
3191.650291,-219877.5145,-53899.25292,-13895.28235
3192.650291,-219948.7545,-53931.55299,-13912.2559
3193.650291,-220019.9676,-53963.84627,-13929.22766
3194.650291,-220091.1539,-53996.13277,-13946.19765
3195.650291,-220162.3134,-54028.4125,-13963.16585
3196.650291,-220233.446,-54060.68546,-13980.13227
3197.650291,-220304.5519,-54092.95164,-13997.0969
3198.650291,-220375.631,-54125.21105,-14014.05975
3199.650291,-220446.6833,-54157.4637,-14031.02082
3200.650291,-220517.709,-54189.70959,-14047.9801
3201.650291,-220588.7079,-54221.94871,-14064.9376
3202.650291,-220659.6801,-54254.18108,-14081.89332
