MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH]
599.5803182,-67901.5787,-21172.14072,-7950.077155
599.6137359,-67902.38123,-21173.90918,-7951.44121
599.6471536,-67903.18346,-21175.67755,-7952.805231
599.6805712,-67903.9854,-21177.44583,-7954.169216
599.7139889,-67904.78704,-21179.21402,-7955.533167
599.7474066,-67905.58838,-21180.98211,-7956.897083
599.7808243,-67906.38943,-21182.75011,-7958.260964
599.814242,-67907.19018,-21184.51802,-7959.624811
599.8476597,-67907.99063,-21186.28584,-7960.988622
599.8810774,-67908.79079,-21188.05356,-7962.352399
599.9144951,-67909.59065,-21189.82119,-7963.716141
599.9479128,-67910.39022,-21191.58873,-7965.079848
599.9813305,-67911.18948,-21193.35617,-7966.44352
600.0147482,-67911.98845,-21195.12353,-7967.807158
600.0481659,-67912.78713,-21196.89079,-7969.17076
600.0815836,-67913.5855,-21198.65795,-7970.534328
600.1150013,-67914.38358,-21200.42503,-7971.897861
600.148419,-67915.18137,-21202.19201,-7973.261359
600.1818367,-67915.97885,-21203.9589,-7974.624822
600.2152544,-67916.77604,-21205.7257,-7975.988251
600.2486721,-67917.57294,-21207.4924,-7977.351644
600.2820898,-67918.36954,-21209.25901,-7978.715003
600.3155075,-67919.16584,-21211.02553,-7980.078326
600.3489252,-67919.96184,-21212.79196,-7981.441615
600.3823429,-67920.75755,-21214.55829,-7982.804869
600.4157606,-67921.55296,-21216.32453,-7984.168088
600.4491783,-67922.34808,-21218.09068,-7985.531273
600.482596,-67923.14289,-21219.85674,-7986.894422
600.5160137,-67923.93742,-21221.6227,-7988.257536
600.5494314,-67924.73164,-21223.38857,-7989.620616
600.5828491,-67925.52557,-21225.15435,-7990.983661
600.6162668,-67926.31921,-21226.92003,-7992.346671
600.6496845,-67927.11254,-21228.68563,-7993.709646
600.6831022,-67927.90558,-21230.45113,-7995.072586
600.7165199,-67928.69833,-21232.21653,-7996.435491
600.7499375,-67929.49077,-21233.98185,-7997.798361
600.7833552,-67930.28293,-21235.74707,-7999.161196
600.8167729,-67931.07478,-21237.5122,-8000.523997
600.8501906,-67931.86634,-21239.27724,-8001.886762
600.8836083,-67932.6576,-21241.04218,-8003.249493
600.917026,-67933.44857,-21242.80703,-8004.612189
600.9504437,-67934.23924,-21244.57179,-8005.974849
600.9838614,-67935.02961,-21246.33646,-8007.337475
601.0172791,-67935.81969,-21248.10103,-8008.700066
601.0506968,-67936.60947,-21249.86551,-8010.062622
601.0841145,-67937.39895,-21251.6299,-8011.425143
601.1175322,-67938.18814,-21253.39419,-8012.787629
601.1509499,-67938.97704,-21255.1584,-8014.150081
601.1843676,-67939.76563,-21256.92251,-8015.512497
601.2177853,-67940.55393,-21258.68652,-8016.874878
601.251203,-67941.34194,-21260.45045,-8018.237225
601.2846207,-67942.12965,-21262.21428,-8019.599536
601.3180384,-67942.91706,-21263.97802,-8020.961812
601.3514561,-67943.70417,-21265.74167,-8022.324054
601.3848738,-67944.49099,-21267.50522,-8023.686261
601.4182915,-67945.27752,-21269.26868,-8025.048432
601.4517092,-67946.06375,-21271.03205,-8026.410569
601.4851269,-67946.84968,-21272.79533,-8027.77267
601.5185446,-67947.63531,-21274.55851,-8029.134737
601.5519623,-67948.42065,-21276.3216,-8030.496769
601.58538,-67949.2057,-21278.0846,-8031.858766
601.6187977,-67949.99044,-21279.84751,-8033.220727
601.6522154,-67950.7749,-21281.61032,-8034.582654
601.6856331,-67951.55905,-21283.37304,-8035.944546
601.7190508,-67952.34291,-21285.13567,-8037.306403
601.7524685,-67953.12648,-21286.8982,-8038.668225
601.7858862,-67953.90974,-21288.66064,-8040.030012
601.8193039,-67954.69272,-21290.42299,-8041.391764
601.8527215,-67955.47539,-21292.18525,-8042.75348
601.8861392,-67956.25777,-21293.94741,-8044.115162
601.9195569,-67957.03986,-21295.70948,-8045.476809
601.9529746,-67957.82165,-21297.47146,-8046.838421
601.9863923,-67958.60314,-21299.23335,-8048.199998
602.01981,-67959.38434,-21300.99514,-8049.56154
602.0532277,-67960.16524,-21302.75684,-8050.923047
602.0866454,-67960.94584,-21304.51845,-8052.284518
602.1200631,-67961.72615,-21306.27996,-8053.645955
602.1534808,-67962.50617,-21308.04139,-8055.007357
602.1868985,-67963.28588,-21309.80272,-8056.368724
602.2203162,-67964.06531,-21311.56395,-8057.730056
602.2537339,-67964.84443,-21313.3251,-8059.091352
602.2871516,-67965.62326,-21315.08615,-8060.452614
602.3205693,-67966.4018,-21316.84711,-8061.813841
602.353987,-67967.18004,-21318.60797,-8063.175032
602.3874047,-67967.95798,-21320.36875,-8064.536189
602.4208224,-67968.73563,-21322.12943,-8065.89731
602.4542401,-67969.51298,-21323.89002,-8067.258397
602.4876578,-67970.29004,-21325.65051,-8068.619448
602.5210755,-67971.0668,-21327.41091,-8069.980464
602.5544932,-67971.84327,-21329.17122,-8071.341446
602.5879109,-67972.61944,-21330.93144,-8072.702392
602.6213286,-67973.39531,-21332.69157,-8074.063303
602.6547463,-67974.17089,-21334.4516,-8075.424179
602.688164,-67974.94617,-21336.21154,-8076.78502
602.7215817,-67975.72116,-21337.97138,-8078.145826
602.7549994,-67976.49585,-21339.73114,-8079.506597
602.7884171,-67977.27025,-21341.4908,-8080.867333
602.8218348,-67978.04435,-21343.25037,-8082.228034
602.8552525,-67978.81816,-21345.00984,-8083.588699
602.8886702,-67979.59167,-21346.76922,-8084.94933
602.9220878,-67980.36488,-21348.52851,-8086.309925
602.9555055,-67981.1378,-21350.28771,-8087.670486
602.9889232,-67981.91043,-21352.04682,-8089.031011
603.0223409,-67982.68276,-21353.80583,-8090.391501
603.0557586,-67983.45479,-21355.56475,-8091.751956
603.0891763,-67984.22653,-21357.32357,-8093.112376
603.122594,-67984.99797,-21359.08231,-8094.472761
603.1560117,-67985.76912,-21360.84095,-8095.833111
603.1894294,-67986.53997,-21362.5995,-8097.193425
603.2228471,-67987.31053,-21364.35795,-8098.553705
603.2562648,-67988.08079,-21366.11631,-8099.913949
603.2896825,-67988.85075,-21367.87458,-8101.274159
603.3231002,-67989.62042,-21369.63276,-8102.634333
603.3565179,-67990.3898,-21371.39085,-8103.994472
603.3899356,-67991.15888,-21373.14884,-8105.354576
603.4233533,-67991.92766,-21374.90674,-8106.714645
603.456771,-67992.69615,-21376.66454,-8108.074678
603.4901887,-67993.46435,-21378.42226,-8109.434677
603.5236064,-67994.23225,-21380.17988,-8110.79464
603.5570241,-67994.99985,-21381.9374,-8112.154568
603.5904418,-67995.76716,-21383.69484,-8113.514461
